TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:20:04,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:20:09,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:20:09,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:20:14,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:20:14,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:20:19,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:20:19,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:20:24,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:20:24,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:20:29,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:20:29,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:20:34,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:20:34,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:20:40,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:20:40,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:20:45,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:20:45,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:20:50,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:20:50,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
